comment,Sum of profit,Profit Factor,Recovery Factor,Sharpe Ratio,Maximum Drawdown,Win,Loss,Win Rate
strategy_12_demo,26.35,1.283760499676933,2.7192982456140333,12.088068198261489,-9.690000000000007,75,30,71.43%
strategy_11_demo,30.03,1.3302903651561813,2.0825242718446617,11.695531344022443,-14.41999999999999,61,36,62.89%
strategy_14_demo,10.5,1.370631839039887,1.8229166666666665,5.132447551132646,-5.760000000000001,26,9,74.29%
strategy_09_demo,28.53,1.3150745444505798,1.758939580764486,11.44410764045732,-16.22000000000002,61,36,62.89%
strategy_10_demo,13.49,1.1383164154619092,0.6188073394495409,5.769978162257067,-21.80000000000001,60,43,58.25%
strategy_19_demo,2.24,1.0428790199081164,0.1893491124260355,0.5630762645436778,-11.830000000000002,13,17,43.33%
strategy_18_demo,0.25,1.0045053162732023,0.02061005770816159,0.08502202261611856,-12.129999999999995,29,18,61.70%
